id,trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
368,TRD000368,9,9,FX,SELL,468,418,2026-03-18,MATCHED
369,TRD000369,10,10,EQUITY,BUY,469,419,2026-03-19,UNMATCHED
370,TRD000370,1,1,BOND,SELL,470,420,2026-03-20,DISPUTED
371,TRD000371,2,2,FX,BUY,471,421,2026-03-01,PENDING
372,TRD000372,3,3,EQUITY,SELL,472,422,2026-03-02,MATCHED
373,TRD000373,4,4,BOND,BUY,473,423,2026-03-03,UNMATCHED
374,TRD000374,5,5,FX,SELL,474,424,2026-03-04,DISPUTED
375,TRD000375,6,6,EQUITY,BUY,475,425,2026-03-05,PENDING
376,TRD000376,7,7,BOND,SELL,476,426,2026-04-01,MATCHED
377,TRD000377,8,8,FX,BUY,477,427,2026-04-02,UNMATCHED
378,TRD000378,9,9,EQUITY,SELL,478,428,2026-04-03,DISPUTED
379,TRD000379,10,10,BOND,BUY,479,429,2026-04-04,PENDING
380,TRD000380,1,1,FX,SELL,480,430,2026-04-05,MATCHED
381,TRD000381,2,2,EQUITY,BUY,481,431,2026-04-06,UNMATCHED
382,TRD000382,3,3,BOND,SELL,482,432,2026-04-07,DISPUTED
383,TRD000383,4,4,FX,BUY,483,433,2026-04-08,PENDING
384,TRD000384,5,5,EQUITY,SELL,484,434,2026-04-09,MATCHED
385,TRD000385,6,6,BOND,BUY,485,435,2026-04-10,UNMATCHED
386,TRD000386,7,7,FX,SELL,486,436,2026-04-11,DISPUTED
387,TRD000387,8,8,EQUITY,BUY,487,437,2026-04-12,PENDING
388,TRD000388,9,9,BOND,SELL,488,438,2026-04-13,MATCHED
389,TRD000389,10,10,FX,BUY,489,439,2026-04-14,UNMATCHED
390,TRD000390,1,1,EQUITY,SELL,490,440,2026-04-15,DISPUTED
391,TRD000391,2,2,BOND,BUY,491,441,2026-04-16,PENDING
392,TRD000392,3,3,FX,SELL,492,442,2026-04-17,MATCHED
393,TRD000393,4,4,EQUITY,BUY,493,443,2026-04-18,UNMATCHED
394,TRD000394,5,5,BOND,SELL,494,444,2026-04-19,DISPUTED
395,TRD000395,6,6,FX,BUY,495,445,2026-04-20,PENDING
396,TRD000396,7,7,EQUITY,SELL,496,446,2026-04-01,MATCHED
397,TRD000397,8,8,BOND,BUY,497,447,2026-04-02,UNMATCHED
398,TRD000398,9,9,FX,SELL,498,448,2026-04-03,DISPUTED
399,TRD000399,10,10,EQUITY,BUY,499,449,2026-04-04,PENDING
400,TRD000400,1,1,BOND,SELL,500,450,2026-04-05,MATCHED
401,TRD000401,2,2,FX,BUY,501,451,2026-04-06,UNMATCHED
402,TRD000402,3,3,EQUITY,SELL,502,452,2026-04-07,DISPUTED
403,TRD000403,4,4,BOND,BUY,503,453,2026-04-08,PENDING
404,TRD000404,5,5,FX,SELL,504,454,2026-04-09,MATCHED
405,TRD000405,6,6,EQUITY,BUY,505,455,2026-04-10,UNMATCHED
406,TRD000406,7,7,BOND,SELL,506,456,2026-04-11,DISPUTED
407,TRD000407,8,8,FX,BUY,507,457,2026-04-12,PENDING
408,TRD000408,9,9,EQUITY,SELL,508,458,2026-04-13,MATCHED
409,TRD000409,10,10,BOND,BUY,509,459,2026-04-14,UNMATCHED
410,TRD000410,1,1,FX,SELL,510,460,2026-04-15,DISPUTED
411,TRD000411,2,2,EQUITY,BUY,511,461,2026-04-16,PENDING
412,TRD000412,3,3,BOND,SELL,512,462,2026-04-17,MATCHED
413,TRD000413,4,4,FX,BUY,513,463,2026-04-18,UNMATCHED
414,TRD000414,5,5,EQUITY,SELL,514,464,2026-04-19,DISPUTED
415,TRD000415,6,6,BOND,BUY,515,465,2026-04-20,PENDING
416,TRD000416,7,7,FX,SELL,516,466,2026-04-01,MATCHED
417,TRD000417,8,8,EQUITY,BUY,517,467,2026-04-02,UNMATCHED
418,TRD000418,9,9,BOND,SELL,518,468,2026-04-03,DISPUTED
419,TRD000419,10,10,FX,BUY,519,469,2026-04-04,PENDING
420,TRD000420,1,1,EQUITY,SELL,520,470,2026-04-05,MATCHED
421,TRD000421,2,2,BOND,BUY,521,471,2026-04-06,UNMATCHED
422,TRD000422,3,3,FX,SELL,522,472,2026-04-07,DISPUTED
423,TRD000423,4,4,EQUITY,BUY,523,473,2026-04-08,PENDING
424,TRD000424,5,5,BOND,SELL,524,474,2026-04-09,MATCHED
425,TRD000425,6,6,FX,BUY,525,475,2026-04-10,UNMATCHED
426,TRD000426,7,7,EQUITY,SELL,526,476,2026-04-11,DISPUTED
427,TRD000427,8,8,BOND,BUY,527,477,2026-04-12,PENDING
428,TRD000428,9,9,FX,SELL,528,478,2026-04-13,MATCHED
429,TRD000429,10,10,EQUITY,BUY,529,479,2026-04-14,UNMATCHED
430,TRD000430,1,1,BOND,SELL,530,480,2026-04-15,DISPUTED
431,TRD000431,2,2,FX,BUY,531,481,2026-04-16,PENDING
432,TRD000432,3,3,EQUITY,SELL,532,482,2026-04-17,MATCHED
433,TRD000433,4,4,BOND,BUY,533,483,2026-04-18,UNMATCHED
434,TRD000434,5,5,FX,SELL,534,484,2026-04-19,DISPUTED
435,TRD000435,6,6,EQUITY,BUY,535,485,2026-04-20,PENDING
436,TRD000436,7,7,BOND,SELL,536,486,2026-04-01,MATCHED
437,TRD000437,8,8,FX,BUY,537,487,2026-04-02,UNMATCHED
438,TRD000438,9,9,EQUITY,SELL,538,488,2026-04-03,DISPUTED
439,TRD000439,10,10,BOND,BUY,539,489,2026-04-04,PENDING
440,TRD000440,1,1,FX,SELL,540,490,2026-04-05,MATCHED
441,TRD000441,2,2,EQUITY,BUY,541,491,2026-04-06,UNMATCHED
442,TRD000442,3,3,BOND,SELL,542,492,2026-04-07,DISPUTED
443,TRD000443,4,4,FX,BUY,543,493,2026-04-08,PENDING
444,TRD000444,5,5,EQUITY,SELL,544,494,2026-04-09,MATCHED
445,TRD000445,6,6,BOND,BUY,545,495,2026-04-10,UNMATCHED
446,TRD000446,7,7,FX,SELL,546,496,2026-04-11,DISPUTED
447,TRD000447,8,8,EQUITY,BUY,547,497,2026-04-12,PENDING
448,TRD000448,9,9,BOND,SELL,548,498,2026-04-13,MATCHED
449,TRD000449,10,10,FX,BUY,549,499,2026-04-14,UNMATCHED
450,TRD000450,1,1,EQUITY,SELL,550,500,2026-04-15,DISPUTED
451,TRD000451,2,2,BOND,BUY,551,501,2026-04-16,PENDING
452,TRD000452,3,3,FX,SELL,552,502,2026-04-17,MATCHED
453,TRD000453,4,4,EQUITY,BUY,553,503,2026-04-18,UNMATCHED
454,TRD000454,5,5,BOND,SELL,554,504,2026-04-19,DISPUTED
455,TRD000455,6,6,FX,BUY,555,505,2026-04-20,PENDING
456,TRD000456,7,7,EQUITY,SELL,556,506,2026-04-01,MATCHED
457,TRD000457,8,8,BOND,BUY,557,507,2026-04-02,UNMATCHED
458,TRD000458,9,9,FX,SELL,558,508,2026-04-03,DISPUTED
459,TRD000459,10,10,EQUITY,BUY,559,509,2026-04-04,PENDING
460,TRD000460,1,1,BOND,SELL,560,510,2026-04-05,MATCHED
461,TRD000461,2,2,FX,BUY,561,511,2026-04-06,UNMATCHED
462,TRD000462,3,3,EQUITY,SELL,562,512,2026-04-07,DISPUTED
463,TRD000463,4,4,BOND,BUY,563,513,2026-04-08,PENDING
464,TRD000464,5,5,FX,SELL,564,514,2026-04-09,MATCHED
465,TRD000465,6,6,EQUITY,BUY,565,515,2026-04-10,UNMATCHED
466,TRD000466,7,7,BOND,SELL,566,516,2026-04-11,DISPUTED
467,TRD000467,8,8,FX,BUY,567,517,2026-04-12,PENDING
468,TRD000468,9,9,EQUITY,SELL,568,518,2026-04-13,MATCHED
469,TRD000469,10,10,BOND,BUY,569,519,2026-04-14,UNMATCHED
470,TRD000470,1,1,FX,SELL,570,520,2026-04-15,DISPUTED
471,TRD000471,2,2,EQUITY,BUY,571,521,2026-04-16,PENDING
472,TRD000472,3,3,BOND,SELL,572,522,2026-04-17,MATCHED
473,TRD000473,4,4,FX,BUY,573,523,2026-04-18,UNMATCHED
474,TRD000474,5,5,EQUITY,SELL,574,524,2026-04-19,DISPUTED
475,TRD000475,6,6,BOND,BUY,575,525,2026-04-20,PENDING
476,TRD000476,7,7,FX,SELL,576,526,2026-04-01,MATCHED
477,TRD000477,8,8,EQUITY,BUY,577,527,2026-04-02,UNMATCHED
478,TRD000478,9,9,BOND,SELL,578,528,2026-04-03,DISPUTED
479,TRD000479,10,10,FX,BUY,579,529,2026-04-04,PENDING
480,TRD000480,1,1,EQUITY,SELL,580,530,2026-04-05,MATCHED
481,TRD000481,2,2,BOND,BUY,581,531,2026-04-06,UNMATCHED
482,TRD000482,3,3,FX,SELL,582,532,2026-04-07,DISPUTED
483,TRD000483,4,4,EQUITY,BUY,583,533,2026-04-08,PENDING
484,TRD000484,5,5,BOND,SELL,584,534,2026-04-09,MATCHED
485,TRD000485,6,6,FX,BUY,585,535,2026-04-10,UNMATCHED
486,TRD000486,7,7,EQUITY,SELL,586,536,2026-04-11,DISPUTED
487,TRD000487,8,8,BOND,BUY,587,537,2026-04-12,PENDING
488,TRD000488,9,9,FX,SELL,588,538,2026-04-13,MATCHED
489,TRD000489,10,10,EQUITY,BUY,589,539,2026-04-14,UNMATCHED
490,TRD000490,1,1,BOND,SELL,590,540,2026-04-15,DISPUTED
491,TRD000491,2,2,FX,BUY,591,541,2026-04-16,PENDING
492,TRD000492,3,3,EQUITY,SELL,592,542,2026-04-17,MATCHED
493,TRD000493,4,4,BOND,BUY,593,543,2026-04-18,UNMATCHED
494,TRD000494,5,5,FX,SELL,594,544,2026-04-19,DISPUTED
495,TRD000495,6,6,EQUITY,BUY,595,545,2026-04-20,PENDING
496,TRD000496,7,7,BOND,SELL,596,546,2026-04-01,MATCHED
497,TRD000497,8,8,FX,BUY,597,547,2026-04-02,UNMATCHED
498,TRD000498,9,9,EQUITY,SELL,598,548,2026-04-03,DISPUTED
499,TRD000499,10,10,BOND,BUY,599,549,2026-04-04,PENDING
500,TRD000500,1,1,FX,SELL,600,550,2026-04-05,MATCHED
